setting,MAE_3h,RMSE_3h,R2_3h,MAE_6h,RMSE_6h,R2_6h,MAE_12h,RMSE_12h,R2_12h,Recall@3h(>=75),Mean|PeakLag|@3h,MeanLead@3h,LeadIQR@3h,PE_threshold,w_A_recalibrated,n_models_A,n_models_B
PE<=0.80,4.6616423876012725,6.494800499005595,0.9594045515757712,6.796894798502728,9.01090376718145,0.9218570307089594,7.51681119648216,10.99864143619543,0.8835843437348293,0.6153846153846154,1.4230769230769231,0.23076923076923078,"[-1h, 1h]",0.8,0.9500000000000001,16,13
PE<=0.85,4.697536351413284,6.508234834529327,0.9592364365058292,6.730416378468695,8.943058162727217,0.9230293211463569,7.530123461286444,11.01178479885743,0.8833059443655205,0.6153846153846154,1.3942307692307692,0.27884615384615385,"[-1h, 1h]",0.85,0.9500000000000001,16,14
PE<=0.90,4.697536351413284,6.508234834529327,0.9592364365058292,6.730416378468695,8.943058162727217,0.9230293211463569,7.530123461286444,11.01178479885743,0.8833059443655205,0.6153846153846154,1.3942307692307692,0.27884615384615385,"[-1h, 1h]",0.9,0.9500000000000001,16,14
PE<=0.95,4.697536351413284,6.508234834529327,0.9592364365058292,6.730416378468695,8.943058162727217,0.9230293211463569,7.530123461286444,11.01178479885743,0.8833059443655205,0.6153846153846154,1.3942307692307692,0.27884615384615385,"[-1h, 1h]",0.95,0.9500000000000001,16,14
