setting,w_A,samples,lec_corrections,MAE_3h,RMSE_3h,R2_3h,MAE_6h,RMSE_6h,R2_6h,MAE_12h,RMSE_12h,R2_12h,Recall@3h(>=75),Mean|PeakLag|@3h,MeanLead@3h,LeadIQR@3h
Full(A+B)+LEC,0.894736842105263,9976,1457,5.084372425447958,7.204481957914884,0.9500481901117941,7.106296842003891,10.41580478485337,0.8955907755880081,13.649475925235622,18.541270573093787,0.6691643620422676,0.7115384615384616,1.7307692307692308,0.5769230769230769,"[0h, 2h]"
"Full(A+B),NoLEC",0.894736842105263,9976,0,5.046006309944557,7.223194894901283,0.949788363234388,7.111083872328911,10.441310053896952,0.895078814035024,13.612551040895816,18.54528208641492,0.6690211900700904,0.6730769230769231,1.7596153846153846,0.6634615384615384,"[0h, 2h]"
A-only+LEC,1.0,9976,1503,5.106649719417949,7.340383637437453,0.9481458846770267,7.2352083782619125,10.742925866097192,0.8889295928267168,13.913797089532794,19.090375741136565,0.6492786085128895,0.7115384615384616,1.7788461538461537,0.5673076923076923,"[0h, 2h]"
"A-only,NoLEC",1.0,9976,0,5.088327186520371,7.383125261201083,0.9475402537389856,7.24252708830386,10.769774716794847,0.888373722055092,13.878245203492158,19.096314809100388,0.6490603538053193,0.6730769230769231,1.8461538461538463,0.6538461538461539,"[-1h, 2h]"
B-only+LEC,0.0,9976,4472,7.9964846566812575,9.861183447166951,0.9064155293012797,11.461630089254415,13.622591344003023,0.8214036151264651,13.180481438206542,16.65114064689081,0.7331782174874077,0.7980769230769231,1.5192307692307692,0.7884615384615384,"[0h, 2h]"
"B-only,NoLEC",0.0,9976,0,6.4799314154575836,8.21363903891121,0.9350742554504812,11.195781305158599,13.386078331400387,0.8275512977625733,12.853186573016693,16.440086859815214,0.7398993015866395,0.7403846153846154,1.625,0.7403846153846154,"[0h, 2h]"
