setting,MAE_3h,RMSE_3h,R2_3h,MAE_6h,RMSE_6h,R2_6h,MAE_12h,RMSE_12h,R2_12h,Recall@3h(>=75),Mean|PeakLag|@3h,MeanLead@3h,LeadIQR@3h,learning_rate,epochs
"lr=0.0001,epochs=50",5.000406150686341,6.710989693580782,0.9566570111635198,6.630111817580892,8.814098330520334,0.9252331663557276,7.722534126554802,11.115168704390847,0.881104499259859,0.6153846153846154,1.5673076923076923,0.22115384615384615,"[-1h, 2h]",0.0001,50
"lr=0.0005,epochs=20",4.940783342754477,6.651898013459726,0.9574169390283802,6.665889156979747,8.845920052540013,0.9246923273131717,7.662424996201556,11.064590353390157,0.8821840791666309,0.6153846153846154,1.5480769230769231,0.2403846153846154,"[-1h, 2h]",0.0005,20
"lr=0.0005,epochs=50",4.947142006147546,6.655792509153598,0.9573670621077173,6.625047519564761,8.809154372118538,0.9253170184826457,7.6328279287608805,11.0413873518268,0.8826776928609135,0.6153846153846154,1.5288461538461537,0.25961538461538464,"[-1h, 2h]",0.0005,50
"lr=0.0005,epochs=80",4.964627393676025,6.677219494842105,0.9570921239223339,6.6320418360427,8.815914489299116,0.9252023515347663,7.639426203173432,11.047976797078734,0.8825376163319593,0.6153846153846154,1.5576923076923077,0.2692307692307692,"[-1h, 2h]",0.0005,80
"lr=0.001,epochs=50",4.952132820950522,6.663327328606943,0.9572704805759096,6.634942006603917,8.81975798800937,0.9251371178409733,7.597086714793286,11.014160949843848,0.8832555778505815,0.6153846153846154,1.5480769230769231,0.2403846153846154,"[-1h, 2h]",0.001,50
