threshold,corrections,MAE_3h,RMSE_3h,R2_3h,MAE_6h,RMSE_6h,R2_6h,MAE_12h,RMSE_12h,R2_12h,Recall@3h(>=75),Mean|PeakLag|@3h,MeanLead@3h,LeadIQR@3h
NoLEC,0,6.751815606704352,8.728221663233226,0.9266842559223065,8.216308450561012,11.479760927770597,0.8731709049080704,13.659299833277046,18.279921471823418,0.6784252399359001,0.7115384615384616,1.9038461538461537,0.7307692307692307,"[-0h, 2h]"
6.0,2946,7.245122700779928,9.247464383232707,0.9177016653921803,8.262720723300662,11.499291475599366,0.8727389884557685,13.800237414071951,18.353768376341243,0.6758218077929724,0.8076923076923077,1.6923076923076923,0.7115384615384616,"[0h, 2h]"
8.0,1862,7.023471587666748,9.031515072658248,0.921500492067238,8.229133671076127,11.47303514429515,0.8733194751006732,13.733020763519407,18.309482370210194,0.6773843465117055,0.7980769230769231,1.75,0.7115384615384616,"[0h, 2h]"
10.0,1213,6.910267199181138,8.909264050598122,0.9236112552503458,8.21639756498652,11.463594402753412,0.873527870878041,13.704012030744826,18.293571976532643,0.6779447896485545,0.7980769230769231,1.7980769230769231,0.7788461538461539,"[0h, 2h]"
12.0,791,6.8344992225315675,8.816952506048562,0.9251860275995413,8.212391429314852,11.461180032977818,0.8735811383472224,13.68850178844659,18.28689107261349,0.6781799790395173,0.7596153846153846,1.9038461538461537,0.8269230769230769,"[0h, 3h]"
