model,horizon_h,MAE,RMSE,R2,PI90_Coverage
ARIMA,3,5.288847190470208,6.445330929031889,-1.4597409017277343,
ARIMA,6,10.717333253209231,12.569327540840224,-1.8827003618050098,
ARIMA,12,23.25659704396738,27.261226384240747,-2.0142272085423225,
BiLSTM-Hybrid,3,5.492612894444737,5.67696576807221,-0.9082333091235082,
BiLSTM-Hybrid,6,9.600618334625958,12.446918601736256,-1.8268262424819715,
BiLSTM-Hybrid,12,35.09938056292135,44.30683971387263,-6.962084005803155,
DiffSTG,3,18.495755798782955,19.20510076222537,-20.838967484112267,0.3333333333333333
DiffSTG,6,12.501149902005428,14.67097081533393,-2.927291357282148,0.6666666666666666
DiffSTG,12,15.591048838928359,17.681555338522163,-0.2680200958553376,0.8333333333333334
