model,horizon_h,MAE,RMSE,R2,PI90_Coverage,seed,cutoff_index
DiffSTG,3,1.242565341419649,1.527674779110713,-2.500685346096449,1.0,19,81572
DiffSTG,6,1.4890391472120517,1.8188902833392766,0.8271392930889155,1.0,19,81572
DiffSTG,12,2.4757020245817007,2.976956467796568,0.7307096744447271,1.0,19,81572
ARIMA,3,6.57211580762331,6.606281862130422,-64.46444006287011,,20,85109
ARIMA,6,9.627004028655945,10.116942357296868,-110.6572974482191,,20,85109
ARIMA,12,13.599965650351868,17.312137619506707,0.08877698435972237,,20,85109
BiLSTM-Hybrid,3,18.45543836905179,19.23329886450899,-553.8796778172841,,20,85109
BiLSTM-Hybrid,6,31.746253745720242,34.77348304401981,-1318.1219523775274,,20,85109
BiLSTM-Hybrid,12,27.08223432609852,30.798779991672973,-1.883967194908862,,20,85109
DiffSTG,3,43.92159467404738,44.01294102144996,-2904.708466036449,0.0,20,85109
DiffSTG,6,40.51221668095169,40.7462592574574,-1810.1901565192,0.0,20,85109
DiffSTG,12,29.724594119988044,32.47997747647448,-2.207411838557729,0.5,20,85109
ARIMA,3,4.162617795161368,4.248371862910727,-26.072995228357343,,21,85560
ARIMA,6,5.052269401354361,5.1769517930890085,-22.53243598163,,21,85560
ARIMA,12,5.400998304837265,5.481108025345909,-39.431088847790946,,21,85560
BiLSTM-Hybrid,3,3.117809276521338,3.1917863244540583,-14.281249911457921,,21,85560
BiLSTM-Hybrid,6,4.046694525215253,4.372821726033028,-15.789671085755923,,21,85560
BiLSTM-Hybrid,12,10.622984770328019,13.067875658516781,-228.8204662486876,,21,85560
DiffSTG,3,2.4852627549320565,3.0235963344046244,-12.713202190137624,0.6666666666666666,21,85560
DiffSTG,6,2.7680397852977543,3.143267791690115,-7.675238213901274,0.6666666666666666,21,85560
DiffSTG,12,5.5009385990883795,6.469858661605112,-55.333703164160035,0.4166666666666667,21,85560
ARIMA,3,13.39977815002488,13.77298189178497,-20.887888099011924,,22,84754
ARIMA,6,11.46660860673817,11.91242685968563,-10.908188561177031,,22,84754
ARIMA,12,9.620078002174353,10.289136745237977,-0.762806687622307,,22,84754
BiLSTM-Hybrid,3,16.670536997793405,17.713071851245978,-35.20225935470031,,22,84754
